Question,Answer
What are some eternal principles that regulate the functioning of the universe?,Certain eternal verities and inviolate precepts of nature regulate the functioning of this universe.
What are some reasons for the financial crisis in the US?,"One reason is the free market principles with a proxy regulation system that have nibbled away at the US financial sector. Another reason is the unconscionable cost of America's foreign involvement, such as the Iraq war, which the US can ill-afford."
What are some flaws in the US government's 700 billion bailout plan?,"The plan gives untrammelled powers with no supervision to the Treasury Secretary, will be an excessive burden on taxpayers, and will not be sufficient enough to the rescue of the sinking economy."
What did President Zardari discuss during his speech at the General Assembly?,He discussed his late wife's doctrine of reconciliation and its potential for peace and cooperation.
What did Mr. Zardari say in his interview with The Washington Post?,"He complimented President Bush's policies, including the phrase ""axis of evil,"" without specifying who was included in the axis."
What did US Defence Secretary Robert Gates warn about regarding Pakistan?,"He warned that the threat facing Pakistan was the most serious threat to homeland security, which could lead to unilateral actions by the US inside Pakistan."
What is the potential of Pakistan's agriculture and livestock sectors?,"Both sectors have the potential to give Pakistan substantial growth and an exportable surplus, as well as high employment and poverty reduction potential."
What are some potential bottlenecks hindering progress in the livestock sector?,"Market failures, such as small and scattered holdings, fear of theft, lack of infrastructure and the high cost of collecting milk are some potential bottlenecks hindering progress in the livestock sector."
What must happen for agriculture and livestock productivity to increase in Pakistan?,"The government, with credible private sector partners, must start an information campaign to inform farmers and livestock owners about the expected benefits of better feeding and watering techniques. There must also be a shift in habits and an encouragement of medium to larger holders who have land to move to enclosures for keeping animals free. Finally, community-enclosed spaces for keeping animals may be a potential solution for those who do not have land and have small holdings."
What is the result of conflicting signals from the US on Pakistan?,The conflicting signals from the US on Pakistan are contradictory enough to shake the confidence of the ordinary Pakistanis.
What kind of reports are coming out of the US about Pakistan in the face of the presidential elections?,The US media is full of reports from Pakistan to portray that the world is still an insecure place posing threats to the US.
What is the only ray of hope for Pakistanis in the current situation?,The only ray of hope for Pakistanis in the current situation is the economic revival as President Zardari seeks assistance from the US-led West.
What was the expectation of Sarah Palin in the vice-presidential debate?,There was an expectation that Palin might self-destruct due to her repeated gaffes in television interviews.
What was Palin's strategy during the debate?,Palin followed a disciplined debate strategy by delivering a series of prepared mini-speeches instead of answering most of the questions asked.
What is Sarah Palin's worldview according to the writer?,"According to the writer, Palin's worldview is absolutist and Manichean, with a good vs. evil framework that embraces hard-line neoconservatism and rejects traditional forms of diplomacy."
What is the purpose of the Asian Development Bank's funding in the local government system in Pakistan?,"To improve local representation, transparency, accountability and efficiency in delivering civic services."
How did General Musharraf change the District administration in Pakistan?,"He promulgated the Local Government Ordinance in 2001, which drastically changed the entire structure of the District administration and destroyed a nearly 150-year-old system."
What are some major policy recommendations for reforming the local government system in Pakistan?,"Consultation with major political parties, amendment of the Local Government Ordinance 2001, revival of the Institution of Deputy Commissioner, avoidance of friction between nazims and MNAs/MPAs, transparent accountability of functionaries and elected representatives, creation of a new office of District Mohtasib with executive and judicial powers, and granting full autonomy to provinces to decide the future of local governments."
Who overshadowed whom in the HH vs HH faceoff in New York?,Hussein Haqqani overshadowed the Abdullah Haroon dynasty's scion.
Who is in demand at social gatherings despite keeping a low profile speaker-wise?,Former President Musharraf is in demand at social gatherings.
Who has switched seats from being a guest to becoming a host in a TV chat show?,Madame Kashmala has switched from being a guest to becoming an anchor on a private channel.
What is the Doctrine of Preemption?,The Doctrine of Preemption is a strategic concept that confers on the US the right to conduct preemptive strikes against countries or groups of individual suspected of planning attacks on the US or its forces and interests abroad.
What is the relationship between Pakistan and China?,"Pakistan and China concluded an alliance relationship in 2005 that has military clauses if either country is attacked, and President Zardari recently met Chinese Premier Wen Jiabao who declared China would continue its support to Pakistan."
What might happen if the US forces insist on conducting operations deep inside Pakistan?,"There might be a risk of a clash between the forces of the two countries if the US forces insist on conducting operations deep inside Pakistan, and any attempt by rash and hawkish military commanders to use preemptive tactics will arouse the ire of 160 million people of Pakistan."
What was the reason behind the low key centenary celebrations of Lal Bahadur Shastri's birthday?,"The reason behind the low key centenary celebrations of Lal Bahadur Shastri's birthday is not known. However, it is mentioned that most of the amount allocated for the celebrations remained unspent."
What were Lal Bahadur Shastri's views on foreign affairs?,"Lal Bahadur Shastri's views on foreign affairs were pragmatic, and he always questioned what was there for India. He felt more comfortable with Pakistan than China."
Why was General Ayub Khan paying homage to Lal Bahadur Shastri after his death?,General Ayub Khan was paying homage to Lal Bahadur Shastri after his death because he believed that Shastri could have brought India and Pakistan closer together if he had lived.
What is the cause of the suffering of the people of Kashmir?,The people of Kashmir have been struggling to gain freedom from India for the past 60 years.
What was India's commitment to Kashmiris as well as the world community?,India made a commitment to the UN Security Council to let the people of Kashmir decide their own fate.
What happened during a planned protest by All Parties Hurriyet Conference in Srinagar?,"Indian security forces prevented residents from attending the protest and killed at least three people, despite thousands of people defying the odds to reach the designated site."
What are some of the challenges that Pakistan is facing today?,"Pakistan is facing challenges such as security, law and order, militancy, extremism, terrorism, financial crisis, power crisis, education crisis, and corruption."
How can Pakistan overcome these problems?,"Pakistan can overcome these problems by staying united as a nation, promoting good governance, implementing good laws, and focusing on development and growth."
What is the potential for development and growth in Pakistan?,"Pakistan has major potential for development and growth in areas such as coal mining, wind energy, biofuels, nuclear energy, copper and gold reserves, and intellectual capital. With good governance and a good team, Pakistan can join the ranks of the developing world."
Who has questioned the validity of the Two-Nation Theory as the basis of Pakistan's creation?,"Mr. Shahid Javed Burki, an eminent Pakistani writer on politics and economy."
What does Mr. Burki suggest as a better way to define Pakistani identity?,He suggests defining Pakistani identity on the basis of geography rather than culture and religion.
Why did the East Pakistan tragedy happen?,"Among other factors, the sense of deprivation of East Pakistanis in not getting their rightful share in the governance of the country and the nation's wealth, as well as being ruled by West Pakistan as colonial masters, led to the tragedy."
"What is the cause of the war in Pakistan, and how is it being fought?","one being the massive attacks on cities like Islamabad, and the other being the war in the mountains of the tribal belt near Afghanistan, which has seen the use of gunship helicopters, fighter planes, and tanks."
What is the joint stand that needs to be taken by all political parties to eradicate terrorism in Pakistan?,The joint stand that needs to be taken by all political parties in Pakistan is to fight terrorism with all resources at their disposal.
When did terrorist groups start carrying out attacks in Pakistan?,"Terrorist groups started carrying out attacks in Pakistan in the 80s and 90s with sectarian terrorists wreaking havoc in the country, attacking mosques and imam bargahs with bombs and automatic weapons and killing hundreds of innocent people."
What is the approach that needs to be taken to protect the life and property of the common man under attack from terrorists in Pakistan?,The approach that needs to be taken to protect the life and property of the common man under attack from terrorists in Pakistan is a homegrown policy instead of one dictated by Washington and rejected by the Musharraf regime.
Who has been appointed as the economics czar by the PPP government?,Shaukat Tarin has been appointed as the economics czar by the PPP government.
What is the main problem facing the economy of Pakistan?,The main problem facing the economy of Pakistan is the drawdown of the foreign exchange reserves built up over the last bout of military rule.
Who is responsible for the deregulated banking and telecom sectors in Pakistan?,"The previously elected government, with a banker first as finance minister then as prime minister, is responsible for the deregulated banking and telecom sectors in Pakistan."
What is the main dispute between India and Pakistan?,The main dispute between India and Pakistan pertains to the struggle for freedom of the state of Jammu and Kashmir.
What was the 1995 Brighton Resolution and why was it important?,"The 1995 Brighton Resolution was adopted by the Labour Party Annual Conference and upheld the UN-sanctioned right of self-determination for the people of Kashmir, acknowledging that the solution of the Kashmir problem was its moral obligation since it was the legacy of the partition of the Indian subcontinent in 1947 under a Labour government. This was the first-ever such development since the UN passed the plebiscite resolution, and was bannered as Pakistan's diplomatic victory even by the Indian media."
What is Pakistan's stand on militants indulging in cross-border terrorism and subverting the Kashmiri freedom movement?,"Pakistan is opposed to external militants indulging in cross-border terrorism and subverting a genuine and glorious indigenous freedom movement nurtured with the innocent blood of the Kashmiri people who have been sacrificing generation after generation so that their children could breathe in free air in the future. Such foreign militants, in fact, have damaged the Kashmiri cause more than helped their just struggle for freedom."
What are some of the doomsday scenarios that are being speculated about in Pakistan?,Most of the conjectures are about the country's consistent slide into anarchy.
"What are the repercussions of Pakistan's president, Mr. Zardari, reneging on his commitments?",Mr. Zardari has succeeded in building an image of untrustworthiness around his persona.
"What is causing fear and uncertainty among the people of Pakistan, and what is the solution?","The cycle of violence is gaining momentum, and dropping kids off at school has become a major issue due to targeted attacks. The solution may be negotiations to find a viable and lasting solution to the scourge of violence."
What is the role of a country's central bank in regulating currencies and banks?,The central bank is responsible for regulating currencies and banks.
What is the importance of confidence in markets and banks?,"Markets and banks run on confidence. Without it, fear leads to panic and rationality, which can drive money away."
Why did the loss of confidence in the American economy lead to a global economic crisis?,"The American economy is the engine of the world economy, so when it experienced a loss of confidence, it affected the global economy as well."
What did President Asif Zardari do to help his coalition partners in the Punjab government?,The president told the Governor Punjab to stop creating trouble for the elected leadership in the province.
Why is Mr. Taseer advised to be mindful of what he says?,Mr. Taseer is neither a lifelong friend nor a diehard jiyala for whom Mr. Zardari can put the entire system at stake.
What is Mian Shahbaz Sharif asked to do?,Mian Shahbaz Sharif is asked to adhere to the agreed powersharing arrangement and keep the promise he made with the president in his recent meeting.
What comment did Musharraf make to Asma Jehangir regarding their support for women empowerment?,"Musharraf said, ""We should get together sometimes"" because ""we both support women empowerment though we may have different ways of approaching the same goal."""
Why did the nikah take place at the PM House for the triplet's wedding?,"Due to security concerns, the nikah took place at the PM House and the khana and gana reception at the Presidency."
Who did the PM appoint as a fashion ambassador and what is their job description?,"A lady designer from Lahore was appointed as a fashion ambassador. She has not been given a job description but is expected to make several foreign junkets, innovate, and get global fashionists to wear Pakistani."
"What is the American threat to Pakistan's sovereignty, and how is it being carried out?","The American threat is posed to Pakistan's territorial integrity and sovereignty, and it is being carried out through more than 20 US missile attacks on the tribal areas killing and wounding hundreds of tribesmen besides destroying their houses from across the PakAfghan border."
"What is the latest interview of the President of Pakistan, and what has he claimed?","According to the latest interview of the President of Pakistan, he has claimed that all attacks were carried out with the permission of the Pakistan government."
"What are the potential consequences of Pakistan's lack of response to American aggression, and who could it affect?","Pakistan's lack of response to American aggression could pose an existential threat to Pakistan, demoralize the nation as well as the armed forces and even encourage the potential aggressors. It could also cause Pakistan's great friends like China and Iran to lose confidence in Pakistan's ability or willingness to stand by them in times of need, putting Pakistans economic survival in serious jeopardy."
What is the author's opinion of Mr. Shahid Javed Burki's article?,"The author thinks that it is a sponsored untrue story, intentionally published to damage the personality of the father of the nation."
"What is the Two-Nation Theory, and what is the author's opinion of it?","The Two-Nation Theory is the idea that Hindus and Muslims can never evolve a common nationality since they belong to two different religious philosophies and social customs. It was categorically stated by Quaid-e-Azam Muhammad Ali Jinnah. The author agrees with this theory, noting that even today, both the nations still have the same bitter feelings for each other."
What is the author's stance on Pakistani identity and national ideology?,The author believes that Pakistani identity and idea cannot be defined on the basis of geography but should be based on culture and religion. The creation of Pakistan was not a product of colonial heritage but derives its origin from Islam. The author strongly advocates that the Quaid's philosophy and definition of the Two-Nation Theory should not be ignored and that Pakistan's national identity should not be set back by accepting Mr. Burki's definition.
Why do some people in Pakistan support President Zardari's visit to China?,People are worried about American aggression in Pakistan's tribal area.
How has China helped Pakistan in the past?,"China provided economic, military, and technical assistance to Pakistan."
What is the significance of the seaport at Gwadar?,It is strategically located near open sea lanes and can become a commercial hub for South Asian states.
"What is the main message of the movie ""Body of Lies""?",The movie suggests that the War On Terror is not working and is creating more terror.
"Who directed the movie ""Body of Lies""?","The movie was directed by Ridley Scott, who had previously directed other acclaimed movies such as ""Gladiator"", ""Kingdom of Heaven"", and ""Blackhawk Down""."
"What is the public opinion about the direction of the US government, according to polls mentioned in the paragraph?","According to national polls, 90 percent of Americans believe that the US is on the wrong track and 73 percent of Americans disapprove of President Bush."
What were the views of Allama Iqbal and QuaidiAzam Muhammad Ali Jinnah regarding theocracy and democracy in Pakistan?,"They both believed that Pakistan was not to be a theocracy, but a modern parliamentary democracy."
Why are extremist elements seeking to turn Pakistan into a theocratic state?,They reject democracy as an unIslamic concept and advocate for Imarat or khilafat.
What are the actions of the extremist elements in Pakistan?,"They disallow women from playing full roles in development, attack video and music centres, require men to grow beards, and resort to force to establish their theocratic state within the moderate state."
Who is blaming Pakistan for cross-border terrorism and an increase of militancy in Afghanistan?,US military and intelligence high officials.
How are mercantile shops run by Indians being used to destabilize Pakistan?,Every mercantile shop run by Indians has a clandestine intelligence office that is being used to facilitate weapons to anti-Pakistan agents.
What should the Karzai regime do to help Pakistan against insurgents?,The Karzai regime should close all training camps and Indian consulates which are conspiring against the integrity of Pakistan.
What is the US government's opinion of President Asif Ali Zardari's handling of the war against terrorism in Pakistan?,"According to the paragraph, the US administration has not been critical of Zardari's efforts to combat terrorism, but skepticism has been expressed through leaked stories quoting unnamed officials."
What is the aim of President Asif Ali Zardari's visit to the United States?,President Asif Ali Zardari met with representatives of a group of donor countries including the United States and Saudi Arabia in an attempt to mobilize $5 billion to prevent Pakistan from defaulting on its debts.
What is the writer's opinion on the use of military force to combat terrorism in Pakistan?,"The writer believes that the use of brute force has failed to achieve victory against the terrorists in Pakistan, and that new solutions beyond military intervention must be explored in the region."
What is the purpose of the incamera session called by the government?,The purpose of the incamera session called by the government is to have a joint briefing for the House on what was going on in the war in FATA and Swat.
What is the situation like in Pakistan according to the paragraph?,"The situation in Pakistan is one of rising lawlessness, violence, civil war in FATA, insurgency in Balochistan, and crimes of violence."
What is the apprehension about the Parliament ruling party in majority?,The apprehension is that the Parliament ruling party in majority and towing the Musharraf line will end up passing a resolution generally supporting the policies of the government especially in FATA.
What is the controversy surrounding the joint session of the Parliament?,The controversy is regarding its meaningfulness and the intentions behind conducting this seemingly counterproductive exercise.
What is the main concern of the elected representatives regarding the war on terror?,The elected representatives were primarily interested to understand the motives prompting the ruling hierarchy to launch such a vast operation and claim the war as Pakistan's war.
What is the writer's suggestion regarding Pakistan's policy towards the US and the war on terror?,Pakistan should have resorted to a more pragmatic policy pending the result of the US election. Thereafter and having first secured its own national interests Pakistan could have devised a sustaining anti-terror policy as well as the nature of its cooperation with the US and other actors engaged in the so-called war on terror.
What are some of the issues facing the Pakistani economy currently?,"Some of the issues facing the Pakistani economy include potential default on international obligations, instability in the banking system and runs on some banks, a struggling stock market, and people trying to move from the Pakistani rupee to dollars."
What are some possible reasons why Pakistan's economic growth was not as sustainable as claimed by the previous government?,"Pakistan's economic growth was not broad based and did not rely on sectors where Pakistan has potential and competitive advantages, but rather on high consumer demand and imports, with limited employment elasticity. The growth was also not export-led and much of it was due to fiscal space created in the wake of 9/11. Institutional reforms were not addressed, which led to further weaknesses."
What challenges does Pakistan face in managing its economy currently?,"Pakistan faces challenges in dealing with short-term crises related to fiscal deficits, a large import bill, and inflation, while still allowing for domestic investment and production for medium-term growth. This requires a balance between raising interest rates and avoiding stalling investment or default, as well as finding external financing. More importantly, there is a need to address institutional reforms to build stronger foundations for sustained growth."
What is causing power outages in Pakistan?,"The cause of power outages in Pakistan is not clear, but it is believed that some power plants are closed for maintenance, while some IPPS have closed their operations due to the government's failure to clear outstanding bills."
What is the impact of load shedding on small industries in Pakistan?,"Load shedding is badly affecting small industries in Pakistan, resulting in the closure of some units and threatening the livelihoods of people who depend on them."
What is the perception of people in Pakistan regarding the power crisis?,"People in Pakistan are angry and frustrated with the government's handling of the power crisis, and they believe that the government is not doing enough to mitigate the sufferings of its citizens. There is also a perception that the crisis is artificially created or part of a wider conspiracy."
What are some rumors circulating about Pakistan's future?,"Rumors suggest that Pakistan will be dismantled or erased from the world map, balkanised, fragmented into multiple pieces, and divested of its nuclear capability."
What are the two factors that guarantee Pakistan's survival on the world map?,Pakistan's valiant military and possession of nuclear weapons and Pakistan's geopolitical importance as a bulwark against malicious and venomous designs and as a pivotal state of the world.
Why is Pakistan important to the US in the fight against terrorism?,"Pakistan provides logistical support to the US in the form of fuel and ammunitions, and its cooperation is critical to all US plans in Afghanistan against Al-Qaeda activities."
What is the main focus of the American-led sequence of wars?,The main focus is economic advantage for the sole superpower.
"What is the ""New American Century project""?",It is a project defined by Brezinski that aims for Pax Americana.
What is the government of Pakistan urged to do to unravel the layers of violence in the region?,"The government of Pakistan is urged to vacate the occupation of Afghanistan, start a sincere dialogue with exiled Baloch leaders, and initiate a dialogue with SCO ECO and their SAARC partners for the withdrawal of US-led forces from Asia. Additionally, they are urged to engage the USA and Europe only as economic partners for a future that is based on peace and prosperity."
What is causing Russia's antagonism towards American influence?,"America's attempts to include Georgia and Ukraine in NATO, extend its security umbrella, and neutralize Russian influence through political agents."
How important is Ukraine to Russia?,"Ukraine is more important than Georgia to Russia due to Kiev being considered the mother of Russian cities, the country's economic and technological resources, and the deployment of the Black Sea Fleet."
Why is it unlikely that Georgia and Ukraine will be offered NATO membership?,"Due to opposition from certain European powers, public opinion in Ukraine opposing membership, and the possibility of Russian threats and retaliation towards Poland and Czechoslovakia."
When did President Zardari visit China?,"President Zardari visited China in October 2017, only 39 days after being elected as president."
What is the foundation of Sino-Pakistan relations based upon?,"Sino-Pakistan relations are based on principles of promoting peace and cooperation among developing countries of the South, rather than countering India or Islam."
What did Zardari offer to Chinese investors during his visit to China?,Zardari offered preferential treatment to Chinese investors and emphasized the importance of Pakistan as a trade and energy corridor for China's growing energy needs and expanding trade.
"What was the first requirement for a Muslim, according to the Quranic injunctions?","The first requirement for a Muslim, according to the Quranic injunctions, was to acquire knowledge of all things, which is the stepping stone to progress."
How did the traditional Mullah oppose the need for Indian Muslims to acquire modern knowledge?,"Traditional Mullah not only spoke against the need for Indian Muslims to acquire modern knowledge through the English language, which was the source of knowledge in most of the modern world but also issued edicts of kufr against them."
What is the consequence if the radical groups' fatwa against the banking system is taken seriously?,"If the radical group's fatwa against the banking system is taken seriously, the entire economic system of the country will collapse."
What was the reason behind the financial crisis in the USA in September 2008?,"The economic order of the USA was in total disarray, resulting in a complete meltdown of the icons of the capitalist order, including Lehman Brothers and Goldman Sachs."
Why did Pakistan expect an easy ride through the global economic crisis?,Pakistan expected an easy ride through the global economic crisis because it was not its fault and played no role in its making.
What factors led to Pakistan not having real economic reasons for special consideration?,The present crisis meant Pakistan had no real economic reason for special consideration and will depend on the noneconomic reasons for assistance.
What does Pakistan have to do to receive aid from the USA?,"Pakistan has to get on board on an IMF programme to receive aid from the USA and save Ukraine and Iceland, and the IMF will put together a package worth 10 billion to 15 billion spread over the next two fiscal years."
What were the highlights of President Zardari's visit to China?,The Chinese leaders accorded him protocol and respect due to head of an important friend. The Chinese media also gave wide projection to the presidents visit to China and highlighted the eleven pacts inked between the two countries.
What sectors do the eleven pacts inked by Pakistan and China cover?,"The pacts and protocols if professionally implemented will expand and consolidate Pakistan's infrastructure, energy, telecommunications, industry, minerals trade, disaster relief and space technology sectors."
What lessons can Pakistan learn from China's rise to economic power?,"China has risen like an economic giant because of high expertise in economic planning, managerial and organizational skills, production efficiency, discipline, and high technological expertise. Pakistan can associate and cooperate with China and learn to stand on its own feet."
What does the Pakistani public think of President Zardari's opinion about George W. Bush being a Man of Peace?,"According to Pakistani columnist Nasim Zahra, the public thinks it is like talk from outer space."
What is the suggestion of Dr. Joseph A. Kechichian to the American presidential contenders for the November 4 elections?,"Both candidates must reassess American influence to avoid lies, WMDs, immorality, Abu Ghraib, Guantanamo, political quagmires, ethnic cleansing, and economic ruin."
Why does the PPP leadership need to develop steadfastness and commitment to public sentiments?,"So they can deal with America within the context of new contours of global power equation and achieve stability, security, and peace."
What was the resolution passed in the joint session of Parliament?,The resolution passed focused on the urgent need to review national security strategy and develop a consensus to combat terrorism through dialogue with stakeholders.
What is the prevailing national antiterror policy of Pakistan?,"Currently, the national antiterror policy focuses solely on military conquest of affected areas, which has exacerbated the gulf between parties to the conflict."
What is the writer's suggestion for finding a solution to the crisis in Pakistan?,"The writer suggests dismantling the remnants of dictatorship and occupying all seats of power in the country, instead of a perpetuation of the status quo."
What is the reason behind public outcry against power companies?,The reason behind public outcry against power companies is due to the excessive billing.
What should have been the logical consequences of extensive power suspension?,The saving people made should be reflected in the bills and the bills should have gone down instead of going up.
How did the government respond to the public outcry about inflated bills?,"The Minister of Water and Power reduced the bill by 40 percent, but only asked the agitated public to pay the rest as an adhoc measure saying the fate of this 40 percent will be decided later on."
What elections are being held in addition to the White House contest?,35 Senate seats and all 435 Congressional posts are being contested.
What is the significance of the Democrats controlling Congress?,Control of Congress can be a critical factor in the success or failure of the next president.
What is the threshold required to end debate in the Senate?,A super majority of 60 votes is required to end debate in the Senate.
What are the two types of leaders discussed in the paragraph?,The two types of leaders are those who try to overcome economic challenges by mobilizing their people and those who seek solutions from foreign governments and institutions.
What is the mindset of Pakistan's current leadership regarding its economic problems?,"Pakistan's current leadership is pursuing begging-bowl diplomacy, seeking assistance from foreign governments and international financial institutions instead of focusing on initiatives to be taken at home for redressing economic problems."
What is the writer's advice for Pakistan's leaders to overcome economic challenges and achieve economic development?,"Pakistan's leaders should adopt austerity both individually and as a nation, cut defence expenditure, and rely on domestic resources to meet developmental and non-developmental needs. They must also give up the habit of ""begging-bowl diplomacy"" and learn to rely on their own resources."
"What was the issue at Singur, West Bengal, and why was it significant?",The issue was the acquisition of land by the government for the Tata group to set up a factory to produce cheap cars called the Nano.
What was the role of the Marxist government in West Bengal in this issue?,The Marxist government in West Bengal was the villain of the piece as it forcefully acquired land from farmers and gave it to the Tatas at a throwaway price.
How can the issue at Singur serve as a lesson for the corporate sector?,The issue shows that corporations should stay away from cultivable land.
What was the 14-point resolution passed unanimously by the joint session of parliament on 22nd October?,It was outlining a comprehensive strategy to deal with the issue of Pakistan's sovereignty and called upon the government to deal with it effectively.
Why did the US attack Pakistan even though they had previously voiced their protests?,They were confident that except for voicing protests the Pakistanis would not do anything against the mighty superpower and would not dare to take any actions against them.
What is the Pakistani leadership's long-term perspective regarding the restoration of lasting peace?,"They visualize the restoration of lasting peace once the Taliban-AlQaeda phenomenon has subsided, and they have been advising the US to go to the root causes of terrorism and redress the historical injustices."
Was the possibility of an African American becoming president always a realistic option in the past?,"No, at first it was considered as remote as a Sindhi or Baloch being elected President or Prime Minister of Pakistan."
Why is the factor working against Obama not the brilliance of his opponent John McCain?,Because he is just recycled safety for the Republicans having come back from defeat by incumbent President George Bush in 2004.
What is the most important issue that the average American voter is not aware of during presidential elections?,The American president sits at the head of a spoils system in which he personally makes thousands of appointments to all levels of posts in the federal bureaucracy ranging from Cabinet-level posts to junior slots like White House drivers.
What event badly hurt the president's image?,Zardari's visit to the US badly hurt his image.
What is the reason for open talk of Islamabad defaulting on loan payments?,"With the foreign reserves just about the size of funds left to half a dozen members of this present government by Musharraf as his parting but unlawful gift, there is open talk of Islamabad defaulting on loan payments."
What is the worst possible political statement made by the president according to the writer?,The worst possible political statement he made is his interview with the Wall Street Journal in which Zardari terms Kashmiri freedom fighters as terrorists.
What did the American Assistant Secretary of State say about Pakistan?,The American Assistant Secretary of State said that Pakistan would not get cash but only technical assistance from America.
"According to the economist, what did Pakistan desperately need?","According to the economist, Pakistan desperately needed cash and not technical assistance."
Why did the American Assistant Secretary of State offer technical assistance instead of cash?,The American Assistant Secretary of State offered technical assistance instead of cash because he knew that cash robberies are rampant in Pakistan and he wanted Pakistan to be a robbery-free country.
Why is the world interested in the US presidential election?,"The incumbent US president, George W Bush, has played havoc with the world in his eight years of presidency, and everyone looks at Barack Obama's candidacy with hope for change in America's global policies and behavior and for peace in the world."
Why is there such a hype in Pakistan about the American presidential race?,"There is an exceptionally self-adherent mood in Pakistan about the American presidential race, with unprecedented media hype and hours of talk shows and commentaries, as if Pakistan is electing its own president. No one knows for sure if it is a sense of disillusionment or hope that is driving this interest."
Will the Obama administration be better for Pakistan than the McCain administration?,"On Afghanistan and Pakistan, there will be no change in the policy focus of McCain or Obama. Both are committed to fighting the roots of terrorism in Pakistan's tribal areas, with the Democrats preferring diplomatic engagement with Pakistan while letting military operations in its tribal to be carried out by Pakistan itself. Biden's plan seeks to fundamentally and positively shift the dynamics between the US and Pakistan, by tripling non-security aid to $1.5 billion annually for at least a decade, and emphasizing performance-based security aid and support for developing democratic institutions and meeting good governance norms."
Who is the focus of the first paragraph?,The focus of the first paragraph is a former high profile Judge and ex-Attorney General of Pakistan.
Why did the man sitting next to the former high profile Judge cause a scene on the Karachi to Lahore flight?,The man sitting next to the former high profile Judge caused a scene on the Karachi to Lahore flight because he didn't want to sit next to such a man.
What is the main topic of the third paragraph?,The main topic of the third paragraph is Mr. Byram D Avari clarifying about the lndus Distillery and Brewery pvt Ltd and dispelling the perception about his political plans.
What are National Intelligence Estimates and what do they address?,"National Intelligence Estimates are documents from the US federal government that provide authoritative assessments by the Director of National Intelligence. They express coordinated judgements of the 16 US intelligence agencies and are prepared for policymakers. They address various issues, including the state of countries such as Pakistan."
What is the assessment of Pakistan according to the National Intelligence Estimate prepared in mid-October?,"The assessment concludes that the Pakistani government is too weak to handle the challenges within its borders. It quotes a Washington Post op-ed saying Pakistan is becoming alarmingly close to a failed state. The situation in Pakistan could have disastrous consequences for the US, NATO, and Afghanistan's struggle to hold back its own Taliban insurgency."
What are some of the problems faced by Pakistan according to the National Intelligence Estimate?,"Pakistan is facing an economic crisis that includes food and energy shortages, escalating fuel costs, a sinking currency, and a massive flight of foreign capital accelerated by the escalating insurgency. The summary of Pakistan's state is that it has ""no money, no energy, no government."" The lack of funds has been confirmed by all, and the country is running out of time with dithering over Plans A, B, and C by unelected financial officials."
What are some of the vital freedoms included in the Human Rights Charter of 1948?,"The Human Rights Charter of 1948 includes the dignity of man and woman, some vital freedoms, the concept of equality, and due process of law."
What are the two divergent theories that have emerged since the last century regarding the future of the world?,"Since the last century, the two divergent theories that have emerged regarding the future of the world are globalisation and the clash of civilisations."
What are some ethics of disagreement that can help combat terrorism in Pakistan?,"Some ethics of disagreement that can help combat terrorism in Pakistan include respecting the people's will reflected through elections, abandoning the practice of calling the adherence of other Fiqa as Kaffir, receiving due respect for Imams of all schools of thought, and reopening the gates of Ijtihad, freedom of thought, rational thinking, quest of knowledge, educational pursuit, dialogue, discussions, and discourse."
What is the significance of November 4th?,November 4th is the day Americans will vote for the person who will lead the country for the next four years.
What makes the US election process peculiar?,The US election process is peculiar due to the long period between the announcement of candidacies and the vacancy in the White House becoming due.
How do the policies and personalities of Obama and McCain differ?,"Obama is seen as a pacifist who would work towards international cooperation while McCain is described as a ""tough-talking guy"" who wants to confront formidable foes and pursue a tough foreign policy."
What are lashkars and why are they being used by tribesmen?,Lashkars are traditional militias that have been raised by moderate tribesmen in response to the growing militancy threat.
Why are some people concerned about the formation of tribal lashkars?,"Some western and political analysts are concerned that the tribal elders who have formed lashkars are risking reprisals from the militants, such as the suicide strike in October that killed over 100 tribesmen."
Who is believed to be destabilizing Pakistan by sending weapons to insurgents in FATA regions?,"India is believed to have established more than 200 foreign offices and training camps in Afghanistan, where RAW's intelligence officials with the help of Khad and tactical support of CIA are doing their utmost to destabilise Pakistan by sending weapons to the insurgents of FATA regions."
What is unique about Elections 2008 in the USA?,"For the first time, a colored candidate is contesting the race for the top slot in the 232 years history of the USA."
What does the APYahoo News poll suggest about racial misgivings and the Presidential Election in 2008?,"The poll found that one-third of white Democrats harbor negative views toward blacks, which could cost Barack Obama the White House if the election is close."
What is the Winter Soldier Iraq and Afghanistan Eyewitness Accounts of the Occupation?,"A publication by Aaron Glantz that provides sordid glimpses of the racial prejudice that permeates American society, compiled from the testimony and eyewitness accounts of war veterans who served in the US Military fighting the Global War on Terror GWoT."
Who sparked protests that grew throughout America in 1955?,Rosa Park sparked protests that grew throughout America in 1955.
What was the most significant feature of the 21-month presidential election campaign?,The most significant feature of the 21-month presidential election campaign was the remarkable tolerance and responsibility shown by the media and the contestants that controlled and refrained from exploiting sensitive issues for sensationalism that had the potential of giving an ugly turn to the campaign.
What lessons can Pakistan learn from the US election?,"Pakistan can learn several lessons from the US election, including ending racial and regional prejudices and treating all citizens equally, accepting the verdict and the will of the people, not casting doubts on anyone's patriotism, and having faith and pride in their nation."
